,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,56,9,0,1,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
1,57,4,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
2,37,4,0,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
3,40,1,0,3,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
4,56,4,0,2,0,0,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
5,45,4,0,4,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
6,59,1,0,5,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
7,41,2,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
8,24,3,1,5,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
9,25,4,1,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
10,41,2,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
11,25,4,1,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
12,29,2,1,2,0,0,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
13,57,9,2,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
14,35,2,0,3,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
15,54,6,0,4,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
16,35,2,0,3,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
17,46,2,0,3,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
18,50,2,0,4,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
19,39,5,1,4,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
20,30,10,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
21,55,2,0,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
22,55,6,1,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
23,41,3,1,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
24,37,1,0,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
25,35,3,0,6,0,0,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
26,59,3,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
27,39,8,0,4,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
28,54,3,1,6,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
29,55,1,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
30,46,1,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
31,59,3,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
32,49,2,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
33,54,5,0,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
34,54,2,2,1,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
35,55,1,0,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
36,34,4,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
37,52,3,0,4,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
38,41,1,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
39,56,3,0,1,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
40,58,5,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
41,32,7,0,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
42,38,1,1,5,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
43,57,1,0,6,0,0,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
44,44,1,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
45,42,3,1,5,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
46,57,1,0,6,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
47,40,2,0,4,0,0,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
48,35,1,0,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
49,45,2,0,4,0,1,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
50,54,1,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
51,39,9,0,1,0,0,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
52,60,1,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
53,53,1,1,5,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
54,55,2,0,1,0,0,0,0.0,5,1,2,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
55,55,3,0,5,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
56,50,5,0,6,0,0,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
57,45,4,0,2,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
58,55,10,0,5,0,1,1,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
59,25,3,1,6,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
60,47,7,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
61,51,2,0,4,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
62,42,2,0,3,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
63,42,2,0,3,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
64,48,1,0,2,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
65,37,1,0,6,0,0,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
66,44,2,1,4,0,1,0,0.0,5,1,1,999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
